100,87.08%,79.23%,86.85%
95,86.34%,78.16%,85.90%
90,85.46%,76.74%,84.92%
85,84.69%,75.45%,84.09%
85,84.69%,75.45%,84.09%
80,83.68%,73.99%,82.80%
75,82.53%,72.18%,81.41%
70,81.13%,70.42%,79.39%
70,81.13%,70.42%,79.39%
65,79.58%,68.30%,77.29%
60,77.96%,66.39%,74.84%
55,75.85%,63.97%,71.73%
50,73.68%,61.91%,68.35%
49.8,73.60%,62.03%,68.16%
49.6,73.57%,62.00%,68.09%
49.4,73.48%,61.82%,67.99%
49.2,73.37%,61.71%,67.84%
49,73.30%,61.69%,67.72%
48.8,73.26%,61.61%,67.66%
48.6,73.04%,61.39%,67.36%
48.4,72.92%,61.27%,67.19%
48.2,72.86%,61.29%,67.06%
48,72.79%,61.14%,66.99%
47.8,72.78%,61.11%,66.97%
47.6,72.62%,60.97%,66.72%
47.4,72.59%,60.95%,66.70%
47.2,72.47%,60.83%,66.52%
47,72.36%,60.66%,66.38%
46.8,72.17%,60.53%,66.10%
46.6,72.08%,60.36%,66.00%
46.4,71.91%,60.16%,65.75%
46.2,71.86%,60.30%,65.62%
46,71.67%,60.21%,65.30%
45.8,71.58%,60.14%,65.18%
45.6,71.50%,60.17%,65.05%
45.4,71.35%,59.95%,64.84%
45.2,71.13%,59.84%,64.50%
45,71.03%,59.64%,64.37%
44.8,70.86%,59.39%,64.17%
44.6,70.71%,59.06%,63.99%
44.4,70.57%,58.92%,63.77%
44.2,70.63%,59.09%,63.83%
44,70.51%,59.14%,63.59%
43.8,70.34%,58.90%,63.38%
43.6,70.27%,58.85%,63.24%
43.4,70.17%,58.98%,63.05%
43.2,69.97%,58.82%,62.74%
43,69.94%,58.74%,62.69%
42.8,69.88%,58.76%,62.59%
42.6,69.73%,58.57%,62.41%
42.4,69.64%,58.59%,62.24%
42.2,69.49%,58.41%,62.05%
42,69.41%,58.28%,61.94%
41.8,69.29%,58.32%,61.75%
41.6,69.25%,58.28%,61.69%
41.4,69.07%,57.89%,61.46%
41.2,68.97%,57.87%,61.29%
41,68.78%,57.74%,61.00%
40.8,68.63%,57.62%,60.80%
40.6,68.60%,57.49%,60.80%
40.4,68.42%,57.34%,60.55%
40.2,68.40%,57.26%,60.54%
40,68.29%,57.14%,60.38%
